"['Haliangium', 'ochraceum']","['Haliangium', 'ochraceum', 'DSM', '14365']"
"['Legionella', 'tucsonensis']","['Legionella', 'parisiensis']"
"['Legionella', 'tucsonensis']","['Legionella', 'pneumophila']"
"['Listeria', 'welshimeri']","['Listeria', 'monocytogenes', 'serotype', '4b', 'str.', 'F2365']"
"['Listeria', 'welshimeri']","['Listeria', 'monocytogenes', 'SLCC2540']"
"['Bacteroides', 'cellulosolvens']","['Bacteroides', 'fragilis', 'NCTC', '9343']"
"['Bacteroides', 'cellulosolvens']","['Bacteroides', 'fragilis']"
"['Bacteroides', 'cellulosolvens']","['Bacteroides', 'thetaiotaomicron', 'VPI-5482']"
"['Bacteroides', 'cellulosolvens']","['Bacteroides', 'fragilis', '638R']"
"['Chondromyces', 'robustus']","['Chondromyces', 'crocatus']"
"['Clostridium', 'algifaecis']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'algifaecis']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
"['Clostridium', 'algifaecis']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'algifaecis']","['Clostridium', 'sp.', 'CAG:567']"
"['Clostridium', 'gasigenes']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'gasigenes']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
"['Clostridium', 'gasigenes']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'gasigenes']","['Clostridium', 'sp.', 'CAG:567']"
"['Clostridium', 'ghonii']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'ghonii']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
"['Clostridium', 'ghonii']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'ghonii']","['Clostridium', 'sp.', 'CAG:567']"
"['Clostridium', 'halophilum']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'halophilum']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
"['Clostridium', 'halophilum']","['Clostridium', 'sporogenes', 'ATCC', '15579']"
"['Clostridium', 'halophilum']","['Clostridium', 'sp.', 'CAG:567']"
"['Clostridium', 'hylemonae']","['Clostridium', 'beijerinckii']"
"['Clostridium', 'hylemonae']","['Clostridium', 'botulinum', 'A', 'str.', 'ATCC', '3502']"
